lemma,count
the,47
of,29
be,26
a,26
and,22
in,18
his,17
to,14
i,12
he,12
rex,10
s,9
that,8
her,8
with,8
it,8
for,7
which,7
into,6
by,6
love,5
its,5
book,5
she,5
have,4
all,4
him,4
t,4
at,4
e,4
y,3
here,3
but,3
n,3
mother,3
as,3
o,3
from,3
tile,3
story,3
an,3
long,3
end,3
yet,3
life,3
picture,3
on,3
aid,2
now,2
please,2
hard,2
lie,2
th,2
over,2
when,2
incident,2
let,2
q,2
ix,2
eye,2
castle,2
there,2
golden,2
xx,2
imagine,2
fair,2
who,2
shell,2
after,2
hi,2
room,2
m,2
author,2
nature,2
bl,2
ford,2
ry,2
father,2
meet,2
boy,2
you,2
not,2
p,2
child,2
only,2
co,2
give,2
tender,2
world,2
lad,2
fill,2
old,2
one,2
more,2
if,2
dame,2
way,2
two,2
reveal,1
discover,1
thread,1
curiosity,1
ls,1
whole,1
invade,1
single,1
dark,1
hallway,1
narrow,1
unify,1
boyhood,1
ar,1
aim,1
dusty,1
wavering,1
lind,1
tie,1
content,1
relate,1
studio,1
above,1
lift,1
curtain,1
through,1
di,1
make,1
consider,1
identity,1
enchain,1
shall,1
later,1
somewhat,1
point,1
unfinished,1
painting,1
knot,1
taste,1
good,1
unusual,1
betray,1
diction,1
purity,1
doorway,1
youth,1
birth,1
mas,1
strike,1
entire,1
ill,1
note,1
land,1
appear,1
sad,1
home,1
away,1
back,1
come,1
bear,1
absence,1
sin,1
scoff,1
oh,1
tor,1
master,1
ilium,1
most,1
cad,1
thrifty,1
acquire,1
r,1
hy,1
disclose,1
conclusion,1
us,1
would,1
rather,1
between,1
entirety,1
ii,1
inclination,1
gentle,1
consume,1
mild,1
must,1
sparkle,1
dancing,1
las,1
haired,1
sprightly,1
wood,1
day,1
le,1
import,1
supreme,1
other,1
artist,1
gt,1
desire,1
fa,1
lender,1
call,1
worldly,1
elder,1
sham,1
already,1
ha,1
than,1
wise,1
bk,1
overwhelmingly,1
share,1
er,1
meeting,1
subsequent,1
dream,1
ail,1
turin,1
remember,1
wing,1
under,1
prim,1
d,1
perfection,1
g,1
c,1
quite,1
et,1
sand,1
although,1
some,1
people,1
z,1
cod,1
small,1
voice,1
me,1
grate,1
upon,1
l,1
ex,1
nev,1
fur,1
lot,1
hit,1
liv,1
rs,1
tn,1
patch,1
flip,1
care,1
apart,1
closed,1
set,1
quest,1
julia,1
ellsworth,1
illustrate,1
arthur,1
lauren,1
new,1
york,1
often,1
we,1
man,1
dual,1
personality,1
almost,1
never,1
characteristic,1
rare,1
force,1
beauty,1
simplicity,1
girl,1
dog,1
kit,1
design,1
should,1
interest,1
parent,1
well,1
quiet,1
h,1
al,1
bird,1
paper,1
differ,1
v,1
inquisitive,1
angle,1
lid,1
ho,1
this,1
insight,1
vague,1
hood,1
widely,1
separate,1
reader,1
young,1
list,1
doe,1
lint,1
leave,1
baffle,1
first,1
faint,1
mall,1
maturity,1
element,1
bring,1
lead,1
out,1
manhood,1
secret,1
groin,1
study,1
find,1
wonder,1
bil,1
j,1
favorite,1
fe,1
steal,1
heir,1
io,1
u,1
tale,1
perceive,1
hide,1
charm,1
subtle,1
haunt,1
tell,1
fascinating,1
too,1
my,1
queer,1
evade,1
about,1
tho,1
wonderful,1
lady,1
babe,1
alan,1
han,1
always,1
begin,1
